"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Norpro Inc","2215 Merrill Creek Parkway Everett Wa 98203 Usa Tel425 261 1000 Fax425 561 1001, Add2215 Merrill Creek Parkway Everett Wa 98203-5899 U S A Tel 002-1-4252611000","","Phone Numbers: 4252611000, 4255611001, 0021425261100 --- Emails: ","United States","5","Tacoma, Wa, Seattle, Wa","Shanghai, Ningpo","732393","Table Kitchen Etc Articles Pts Stainless Stainless Steel Cookware, Table Kitchen Etc Articles Pts Stainless Stainless Steel Pots, Table Kitchen Etc Articles Pts Stainless Stainless Steel Strainer Nut Cracker Bakeware Stainless Steel Mesh Colander","5","43414","Norpro Inc","2215 Merrill Creek Parkway Everett Wa 98203 Usa Tel425 261 1000 Fax425 561 1001, Add2215 Merrill Creek Parkway Everett Wa 98203-5899 U S A Tel 002-1-4252611000"
"Quinton International Inc","4451 Eucalyptus Ave Suite 310 Chi No Ca 91710 T= 909-597-8886 F= 909 -597-8111","","Phone Numbers: 9095978111, 9095978886 --- Emails: ","United States","5","Long Beach, Ca","Yantian","761510, 732393","Alu Tools Solid Wood, Peeler Plastic Tools Alu Tools Metal Tools Kitchen Knife Thi Solid Wood, Smart Burner Alu Tools Solid Wood","5","44790","Quinton International Inc","4451 Eucalyptus Ave Suite 310 Chi No Ca 91710 T= 909-597-8886 F= 909 -597-8111"
"Risen King Limited","6547 N Academy Blvd 2266 Colorado Springs Co 80918 Tel:031-6581959 Ocean@Guardiancustoms Com","guardiancustoms.com","Phone Numbers:  --- Emails: 031-6581959 Ocean@Guardiancustoms Com","United States","5","Los Angeles, Ca, Oakland, Ca","Yantian","732393","Stainless Steel Kitchen Appliances Stainless Steel Kitchen Appliances Liqingju Shu Foxmail, Stainless Steel Kitchen Supplies Stainless Steel Kitchen Supplies Liqingju Shu Foxmail, Stainless Steel Kitchen Utensils Stainless Steel Kitchen Utensils Liqingju Shu Foxmail","5","47516","Shenzhen Jia King Import & Export Co Ltd","Rm2705-2707 Building A Lushan Hotel Chungfeng Road Luohu District, Rm2705-2707 Building A Lushan Hotel Chungfeng Road Luohu Districtshenzhen China"
"T Pac Enterprises Ltd","Po Box 99900 Rt 133 504 Pro Blundell Centre Richmond Bc Canada V7C 0A8 Tel:+1 604 716 6137 Contact:Emily Ma, Po Box 99900 Rt 133 504 Pro Blundell Centre Richmond Bc Canada V7C 0A8 Attn: Emily Ma Tel:+1604 716 6137, Po Box 99900 Rt 133 504 Pro Blundell Centre Richmond Bc Canada V7C 0A8 Attn:Emily Ma Tel:+1 604 716 6137","","Phone Numbers: +16047166137 --- Emails: Ma Tpacenterprises@Gmail Com","United States","5","Tacoma, Wa","Kao Hsiung","732393","Household Ware","5","32087","T Pac Enterprises Ltd","Po Box 99900 Rt 133 504 Pro Blundell Centre Richmond Bc Canada V7C 0A8 Tel:+1 604 716 6137 Contact:Emily Ma, Po Box 99900 Rt 133 504 Pro Blundell Centre Richmond Bc Canada V7C 0A8 Attn: Emily Ma Tel:+1604 716 6137, Po Box 99900 Rt 133 504 Pro Blundell Centre Richmond Bc Canada V7C 0A8 Attn:Emily Ma Tel:+1 604 716 6137"
"Tabletops Unlimited","Inc 23000 S Av 90745 310 549-6000, Inc 23000 S Avalon Blvd Carson Ca 90745 Tel: 310 549-6000, Inc 23000 S Avalon Blvd Carson Ca 90745 Tel: 310 549-6000 Fax: 310 549-3700","","Phone Numbers: 90745310549600, 3105496000, 3105493700 --- Emails: ","United States","5","Long Beach, Ca, Los Angeles, Ca","Ningpo, Kajang","761510, 732393","Aluminum Cookware Wood Also, Aluminium Cookware Aluminium Cookware, Aluminum Cookware Solid Wood Alsoshipper","9","57851","Tabletops Unlimited","Inc 23000 S Av 90745 310 549-6000, Inc 23000 S Avalon Blvd Carson Ca 90745 Tel: 310 549-6000, Inc 23000 S Avalon Blvd Carson Ca 90745 Tel: 310 549-6000 Fax: 310 549-3700"
"Tar Hong Texas","10702 Cash Road Stafford Tx 77477 Attn: Brian Chieu 713-690-0111, 10702 Cash Road Stafford Tx 77477 Attn:Brian Chieu 713-690-0111 Ext 309","","Phone Numbers: 7136900111 --- Emails: ","United States","5","Houston, Tx","Yantian, Pusan","732393, 761510","Aluminum Baking Pan Aluminum Baking Pan, Stainless Steel Cookware Stainless Steel Cookware, Stainless Steel Cookware Stainless Steel Cookware Stainless Steel Cookware","9","75848","Thunder Group Inc, Consignee And Success System Service","780 South Nogales Street City Of Industry Ca 91748 Email : Fionl@Thundergroup Com 626-935-1605, 780 South Nogales Street City Of Industry Ca 91748 E-Mail:Fionl@Thundergroup Com Tel:626-935-1605, 923 E Valley Blvd No 108 San Gabriel Ca 91776 Atten: Julie Wang"
"The Coleman Company Inc","180 North Lasalle St Suite 700 Chicago Il 60601 Attn: Erin Nicholas Fax: 316 219 5205, 180 North Lasalle St Suite 700 Chicago Il 60601 Attn: Erin Nicholas Fax:316 219 5205, 3600 N Hydraulic Wichita Ks 67219- 3598 Attn: Erin Nicholas Fax: 316 219 5205 Email:","","Phone Numbers: 3162195205, 9517273969 --- Emails: ","United States","5","Los Angeles, Ca, Long Beach, Ca","Yantian","732393, 761510","Mess Kit Person Aluminum Coffee Pot Cup Aluminum Mess Kit Person Aluminum Coffee Pot Cup Aluminum Canteen Cvr Belt Also Party Geodis Attn Charles Evenson Avenue South Suite Seatac Phone Colemanseattle Geodis Isf Gtn, Percolator Cup Newell Brands Distribution Llc Merritt Floor Norwalk Attentithe Coleman Company Phone Newellbrandsftz Newellco, Table Kitchen Other Househ Table Kitchen Other Househ Percolator Cup Kilograms Cubic Meters Oven Camp Oven Camp Kilograms Cubic Meters Powell Company Wando Park Bmt Pleasant Robin Elsmore Nrimports Chpowell Isf Gtn","7","72112","Ch Powell Company, Newell Brands Distribution Llc, The Coleman Company Inc","478 Wando Park Blvd Mt Pleasant Sc29464 Robin Elsmore Tel 843-856-2484, 301 Merritt 7 5Th Floor Norwalk C 06851 Attention: The Coleman Company Inc Phone: 203-845-5300, 478 Wando Park Blvd Mt Pleasant Sc 29464 Robin Elsmore Tel 843-856-2484"
"Topda Inc","7901 4Th St N Ste 300 St Petersburg Fl 33702 Us Ein:84-3809496 Operation02@Link-Trans Com, 7901 4Th St N Ste 300 St Petersburg Fl 33702 Us Operation02@Link-Trans Com, 7901 4Th St N Ste 300 St Petersburg Fl 33702 Us Email: Operation02@Link-Trans Com Tle:909-481-8999","link-trans.com","Phone Numbers: 9094818999 --- Emails: 84-3809496 Operation02@Link-Trans Com, Us Operation02@Link-Trans Com, Operation02@Link-Trans Com Tle","United States","5","Los Angeles, Ca, Long Beach, Ca, New York/Newark Area, Newark, Nj","Yantian, Shekou","732393","Kitchen Stents Shower Head Solid Wooden, Sink Caddy Pvc Cover Solid Wooden, Soap Dispenser Soap Dispenser Solid Wooden Info Customservice Ein","6","79718","Jl Cusoms Service Llc, Jl Cusoms Servive Llc, Jl Customs Service Llc","Add:9570 Santa Anita Ave #A Rancho Cucamonga Ca 91730 Attn:Jacky Tel:626-290-7687, 20418 East Walnut Drive North Units 1B & 1C Diamond Bar Ca 91789 Attn:Jacky"
"Town Food Service Equip Co Inc","72 Beadel Street Brooklyn Ny 1122 Tel: +1-718-388-5650 Fax: +1-718-388-5860, 72 Beadel Street Brooklyn Ny 11222 U S A Tel: +1-718-388-5650 Fax: +1-718-388-5860, 72 Beadel Street Brooklyn Ny 11222 U S A Tel: 718-388-5650","","Phone Numbers: +17183885650, +17183885860, 7183885650 --- Emails: ","United States","5","New York/Newark Area, Newark, Nj","Port Qasim","761510","Ddc Alloy Metal Alum Kitchenware Items Pgi Dated Jun Form Mbl Dated Jun, Ddc Alloy Metal Alum Kitchenware Items Pgi Dated Nov Form Mbl Dated Nov, Ddc Alloy Metal Alum Kitchenware Items Pgi Dated Oct Form Mbl Dated Oct","5","32240","Pan Link International Corp, Town Food Service Equip Co Inc","300 Merrick Road Suite 307 Lynbroo Tel: 516-561-3958 Ext: 202 Fax: 516E-Mail: Import@Panlink Com / Franci, 300 Merrick Road Suite 307 Lynbrook Ny 11563 Usa Tel: 516-561-3958 Ext: 202, 300 Merrick Road Suite 307 Lynbrook Ny 11563 Usa Tel: 516-561-3958 Ext:202"
"Zoey Global Sourcing Inc","815 Brazos St Austin Tx 78701 Jack Yang68@126 Com604-900-3093","126.com604-900-3093","Phone Numbers: 6049003093 --- Emails: Jack Yang68@126 Com604-900-3093","United States","5","Seattle, Wa, Tacoma, Wa","Yantian","732393","Kitchen Ware","5","64140","Canada Brightway International Logistics Ltd","270-4611 Viking Way Richmond Bc V6V2K9604-207-9922"
"Allmilmo Inc","795 S Cherokee St Littleton Co 801202338 Us Tel:6267233822 Email:Info@Mmanorinc Com;, 795 S Cherokee St Littleton Co 80120-2338 Ustel:6267233822Email:D Nohchb@Gmail Com ; Info@ Mmanorinc","mmanorinc.com","Phone Numbers: 6267233822 --- Emails: Info@Mmanorinc Com, D Nohchb@Gmail Com","United States","4","Los Angeles, Ca, Long Beach, Ca","Yantian, Shanghai","732393","Cup Wood, Stainless Steel Cup Wood, Stainless Steel Cupshs Ail Dnohchb Gmail Info Mmanorinc","5","62086","Jaak Transport Inc, David Noh Chb","661 Brea Canyon Rd Suite 7 Walnut Ca 91789 Tel:562- 477- 0077 Email:Info@Mmanorinc Com;, 2400 W Carson St Ste # 220 Torran Ce Ca 90501 Tel:310-774-0919;626 372 5111+"
"Ally Network Inc","1710 W Cameron Ave Ste # 200 West Covina Ca 91790 Tel: 626 705-9799, 1710 W Cameron Ave Ste # 200 West Covina Ca 91790 Tel: 626 705-9799 Email:@@, 1710 W Cameron Ave Ste # 200 West Covina Ca 91790 West Covina Tel: 626 705-9799","nqplainc.com","Phone Numbers: 6267059799 --- Emails: Derek@Nqplainc Com","United States","4","Long Beach, Ca, Los Angeles, Ca","Ningpo, Shanghai","732393","Stainless Steel Cup, Stainless Steel Kettle Wireless Keyboard, Stainless Steel Tumbler","4","52496","Ally Network Inc, Feidi Supply Chain Management Corp","1710 W Cameron Ave Ste # 200 West Covina Ca 91790 Tel: 626 705-9799 2531757496@Qq Com, 1710 W Cameron Ave Ste # 200 West Covina Ca 91790 Tel: 626 705-9799 Email:@@@, 1710 W Cameron Ave Ste # 200 West Covina Ca 91790 West Covina Tel: 626 705-9799"
"Amico Patient Care Corp","122 East Beaver Creek Road Richmondhill On L4B 1G6 Canada Phone: 90 5 764-0800 Ext, 122 East Beaver Creek Road Richmondhill On L4B 1G6 Canada Phone: 905 764-0800 Ext, 122 East Beaver Creek Road Richmondhill On L4B 1G6 Canada Phone:905 747 5029 Ext Fax:905 764 0643","","Phone Numbers: 9057640800, 9057475029, 9057640643 --- Emails: ","United States","4","Seattle, Wa, Tacoma, Wa","Pusan, Qingdao","732393","Brass Apc Apc Apc Apc Apc Apc Stainless Steel Apc Medical Use, Brass Apc Apc Apc Apc Apc Stainless Steel Apc Apc Medical Use, Brass Apc Apc Apc Stainless Steel Apc Apc Apc","4","9300","",""
"Berghoff International Inc","11063 S R 54 33556 Odessa Usa +1 727 853 3353 Berghoffimports@Gmail Com, 11063 S R 54 Odessa 33556 United States Of America Tel 813 528 6870 Fax, 11063 S R 54 Odessa Fl 33556 Usa 813 528 6870","","Phone Numbers: 8135286870, 0018135286870 --- Emails: 3353 Berghoffimports@Gmail Com","United States","4","Miami, Fl, Port Everglades, Fl, Tampa, Fl","Anvers, Yantian","732393, 761510","Kitchen Equipment Kitchen Equipment, Stainless Steel Cookware, Table Kitchen Etc Articles Pts Stainless Cookware","4","45177","Berghoff International Inc, Same As Consignee","11063 S R 54 Odessa Fl 33556 Usa 813 528 6870, 11063 S R 54 Odessa Fl 33556 Usa Odessa Hillsborough Florida United States 001-813-5286870 Telex: 3355, Same As Consignee"
"Bivo Llc","65 Millet St Ste 101 Richmond Vt 05477-9623 United States Robby Ringer +1 406 425-0772, 65Millet St Ste 101 Richmond Vt 05477-9623 United States Peter Hazelett  802 373 1160, 65Millet St Ste 101 Richmond Vt 05477-9623 Usa Peter Hazelett +1 802 373 1160 Richmond Colorado","","Phone Numbers: +18023731160, +14064250772, 8023731160 --- Emails: ","United States","4","New York/Newark Area, Newark, Nj","Ningpo","732393","Bottle, Bottle Color, Bottle Vacuum Bottle","4","7484","Bivo Llc","65 Millet St Ste 101 Richmond Vt 05477-9623 United States Robby Ringer +1 406 425-0772, 65Millet St Ste 101 Richmond Vt 05477-9623 United States Peter Hazelett  802 373 1160, 65Millet St Ste 101 Richmond Vt 05477-9623 Usa Peter Hazelett +1 802 373 1160 Richmond Colorado"
"Carico International Inc","Post Office Box 8906 Fort Lauderdale Florida 33310 Tel : 954 973-3900","","Phone Numbers: 9549733900 --- Emails: ","United States","4","Miami, Fl","Shekou, Pusan, Yantian","732393","Carico Ultra Tech Tech Stainless Steel Cookware Wood","4","10575","",""
"Electrolux Home Products Inc","1310 Fanning Bridge Road Fletcher Nc 28732 Charity Bailey Tel 828 687-5501, 1310 Fanning Bridge Road Fletcher Nc 28732 Charity Bailey:Tel 828 687-5501, 1310 Fanning Bridge Road Fletcher Nc 28732 Charity Bailey; Tel 828 687-5501 +","electrolux.com","Phone Numbers: 8286875501 --- Emails: Charity Bailey@Electrolux Com","United States","4","Charleston, Sc, Savannah, Ga","Yantian","732393","Control Panel Frig Marinating Article Contract Terri Ash Mobile Terri Ash Dhl Cae Consumerretail Dhl Special Marks Term Fob Level Destination Charges Payable Electrolux Singapore Behalf Uwa Electrolux Home Fanning Bridge Road Fletcher Contact Charity Bailey Mail Charity Bailey Electrolux Third Party Electrolux Pte Payer Rochester Park Gsk Asia House Singapore Elaine Toh Sge Centralfreight Electrolux Attn Central Billing Department Apo, Fdbm Marinating Pan Article Charity Bailey Electrolux Terri Mobile Terri Ash Dhl Cae Consumerretail Dhl Serene Tan Sge Centralfreight Electrolux Attn Central Billing Departme Apo Contract Special Marks Term Fob Level Destination Charges Payable Electrolu Singapore Behalf Uwa, Frig Marinating Article Sauce Pan Lid Article Ffspan Skillets Article Ffspan Skillet Article Ffspan Sauce Pan Lid Article Ffspan","6","44000","Dhl Global Forwarding, Dhl Global Forwarding International, Dhl Global Forwarding International Hub","3245 Platt Springs Road Suite 200 West Columbia Sc 29170, 3245 Platt Springs Road Suite 200 West Columbia Sc 29170 Jeremy Pollar J Pollarddhl Com Direct, 4925 Sirona Drive Suite 300 Charlotte Nc 28273 United States ++"
"Go Top Ecommerce Incorporated","8455 Sw Cedarcrest St Portland Or 97223 Tel 626-774-5775, 8455 Sw Cedarcrest St Portland Or 97223 Laxop011@Twth Hk, 8455 Sw Cedarcrest St Portland Or 97223 Tel :626-774-5775","twth.hk","Phone Numbers: 6267745775 --- Emails: 97223 Laxop011@Twth Hk","United States","4","Long Beach, Ca, Los Angeles, Ca, New York/Newark Area, Newark, Nj","Yantian","732393","Basket Declaration Does Any Solid Wood, Shelf, Shelf Cont","4","51420","Go Top Ecommerce Incorporated","8455 Sw Cedarcrest St Portland Or 97223 Tel 626-774-5775, 8455 Sw Cedarcrest St Portland Or 97223 Laxop011@Twth Hk, 8455 Sw Cedarcrest St Portland Or 97223 Tel :626-774-5775"
"Grindmaster Corp","4003 Collins Lane Louisville Ky 40245 Usa Tel:502 357 2132","","Phone Numbers: 5023572132 --- Emails: ","United States","4","Long Beach, Ca, Los Angeles, Ca","","732393","Kitchen Ware, Kitchen Ware Spare, Kitchen Ware Spare Kitchen Ware Spare","9","88610","Ups Supply Chain Solutions Inc","Fmc 16871N 3031 S Kansas Expressway Springfield M0 65807 Us, Fmc 16871N 3031 S Kansas Expressway Springfield M0 65807 Us Tel:417-877-2200, Fmc 16871N 3031 S Kansas Expressway Springfield M0 65807 Us Tel:417-877-2200 Fax:417-831-0308"
"Highel Inc","23062 La Cadena Drive Laguna Hills Ca 92653 Phone:949-753-8600 Fax:949-753-8601, 9591 Irvine Center Drive Irvine Ca 92618 Phone: 949 753-8600","","Phone Numbers: 9497538600, 9497538601 --- Emails: ","United States","4","Los Angeles, Ca, Long Beach, Ca","Ningpo, Pusan","761510","Aluminum Cookware Aluminum Cookware Hlcw June, Plastic Food Storage Plastic Food Storage Plastic Cutting Board Cookware Phone, Smart Food Storage Smart Food Storage Cookware","5","54646","Cnr International","2626 Vista Industria Compton Ca 90221 Contact:Tim Kim Timkim@Cnrintl Com@@@@, 2626 Vista Industria Compton Ca 90221, 2626 Vista Industria Compton Ca 90221 Contact:Tim Kim Timkim@Cnrintl Com Phone#:310-329-2949"
"Homegoods Inc","770 Cochituate Road Framingham Ma 01701 Usa Fax:508 390 5846, -770 Cochituate Ro Ma 01701 Usa Fax508 390 5 846","","Phone Numbers: 5083905846 --- Emails: ","United States","4","Los Angeles, Ca, Long Beach, Ca","Yantian, Ningpo","732393, 761510","Aluminium Cookwaere, Houseware, Kitchenware Houseware","4","26323","Expeditors Los Angeles","19701 Hamilton Avenue Suite 100 Torrance Ca 90502 310-343-6200"
"Hudson S Bay Company","8925 Torbram Road Brampton Ontario Canada L6T 3P9 Tel: 416 861-6283, 8925 Torbram Road Brampton Ontario Canada L6T 4G1 Tel: 416 861-6283, Ulc 698 Lawrence Ave W North York On M6A 3A5 Canada 4168616283","","Phone Numbers: 4168616283 --- Emails: ","United States","4","Tacoma, Wa","Ningpo","761510","Aluminum Cookware Aluminum Cookware Consignor Irrevocably Waives Right Alter Named Consignee Its Right Stoppage Transit, Cookware Cookware Cookware, Cookware Frypan Cookware Frypan","15","83725","Hudson S Bay Company","8925 Torbram Road Brampton Ontario Canada L6T 3P9 Tel: 416 861-6283@@@, 8925 Torbram Road Brampton Ontario Canada L6T 4G1 Tel: 416 861-6283@@@, Ulc 698 Lawrence Ave W North York On M6A 3A5 Canada 4168616283"
"Kl Distributing","7425 Sailfish Dr Hudson Fl 3466734667","","Phone Numbers: 3466734667 --- Emails: ","United States","4","Los Angeles, Ca","Yantian","732393","Stainless Steel Cookware, Stainless Steel Cookware Solid Wooden","4","44103","Kl Distributing","7425 Sailfish Dr Hudson Fl 3466734667"
"Kmkt 2 Inc","942 Broadway St Ste 314C Boulder Co 80302 Ein:30-1268280 Tel: 626-493-0993","","Phone Numbers: 6264930993 --- Emails: ","United States","4","Los Angeles, Ca, Long Beach, Ca","Yantian, Shekou","732393","Commodity Shelf Bowl Solid Wooden, Griddle Solid Wooden, Shower Caddy Paper Holder Solid Wooden","4","53202","Jl Cusoms Service Llc","Add:9570 Santa Anita Ave #A Rancho Cucamonga Ca 91730 Attn:Jacky Tel:626-290-7687"
"Lowes Companies Canada Ulc","220 Chemin Du Tremblay Boucherville J4B 8H7 Phone 514-599-5990","","Phone Numbers: 5145995990 --- Emails: ","United States","4","Tacoma, Wa","Shanghai","732393","Grayden Hard Top Gazebo Steel, Soft Top Gazebo Steel","4","58952","Ups Scs Inc","1930 Derry Road East Mississauga Ontario L5S 1E2 Rajah Antonyups Com Dlwestups Com Ismail Waljiups Com"
"Matinal Trade Co Ltd","1401 21St Street Suite R Sacramento California 95811 Ein: 32-0660448 Tel: 626-493-0993","","Phone Numbers: 6264930993 --- Emails: ","United States","4","Los Angeles, Ca","Yantian","732393","Bike Hook Flameless Candle Wood, Commodity Shelf Alarm Clock Hscode Wood Acking, Commodity Shelf Wood","5","63143","Jl Cusoms Service Llc, Jl Customs Service Llc","20418 East Walnut Drive North Units 1B & 1C Diamond Bar Ca 91789 Attn:Jacky Tel:626-290-7687, Add:9570 Santa Anita Ave #A Rancho Cucamonga Ca 91730 Attn:Jacky Tel:626-290-7687"
"Nb Future Usa Inc","5050 Palo Verde St Ste 118 Monclair Ca 91763 Office Phone: 909 -447-2205 Email:Dora Gong@Zjfreight Com@@, 2455E Francis St Ontario Ca 91761 Dora Gong 626-866-1730","zjfreight.com","Phone Numbers: 9094472205, 6268661730 --- Emails: Dora Gong@Zjfreight Com","United States","4","Long Beach, Ca, Los Angeles, Ca","Ningpo","732393, 761510","Cast Aluminium Cookware Cast Aluminium Cookware Eva Lee Zjfreight Eva Lee Zjfreight, Aluminum Wheels Aluminum Wheels Iron Table Eva Leezjfreight Eva Leezjfreight, Stainless Steel Cookware","4","46937","Nb Future Usa Inc","5050 Palo Verde St Ste 118 Monclair Ca 91763 Office Phone: 909 -447-2205 Email:Dora Gong@Zjfreight Com@@@"
"Ocean Crossing International Inc","16 Mount Bethel Road Suite 187 Warren Nj 07059 Tel:848-2198838, 16 Mount Bethel Road Suite 187 Warren Nj 07059 Tel:848-2198838 @@, 16 Mount Bethel Road Suite 187 Warren Nj 07059 Tel:848-2198838 Email:Lzhang@Oceancrossingintl Com","oceancrossingintl.com","Phone Numbers: 8482198838 --- Emails: Lzhang@Oceancrossingintl Com","United States","4","Charleston, Sc, Long Beach, Ca, Los Angeles, Ca","Ningpo","732393","Plastic Top Plastic Top Bracket Flag Pole Steel Bracket Brass Top Lzhang Oceancrossingintl Lzhang Oceancrossingintl, Plastic Top Plastic Top Stainless Steel Strap Brass Bracket Flag Pole Lzhang Oceancrossingintl Lzhang Oceancrossingintl, Steel Bracket Steel Bracket Steel Pole Plastic Top Stainless Steel Bracket","4","44422","Ocean Crossing International Inc, Rga Logistics","16 Mount Bethel Road Suite 187 Warren Nj 07059 Tel:848-2198838 @@@, 16 Mount Bethel Road Suite 187 Warren Nj 07059 Tel:848-2198838 Email:Lzhang@Oceancrossingintl Com, 29 Leinback Drive Bldg D-3 Charleston Sc 29407 Tel:843-7233868 Fax:843-7233859"
